time_s,time_min,orbit_fraction,min_distance_km,mean_distance_km,max_distance_km,availability,connected,representative_distance_km,representative_neighbor,mapping_changes
0.00000000,0.00000000,0.00000000,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,879.12790203,47.00000000,0.00000000
31.83403939,0.53056732,0.00555556,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,880.44408248,47.00000000,0.00000000
63.66807877,1.06113465,0.01111111,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,880.77024406,47.00000000,0.00000000
95.50211816,1.59170197,0.01666667,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,880.10589754,47.00000000,0.00000000
127.33615754,2.12226929,0.02222222,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,878.45203959,47.00000000,0.00000000
159.17019693,2.65283662,0.02777778,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,875.81115385,47.00000000,0.00000000
191.00423631,3.18340394,0.03333333,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,872.18721356,47.00000000,0.00000000
222.83827570,3.71397126,0.03888889,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,867.58568594,47.00000000,0.00000000
254.67231508,4.24453858,0.04444444,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,862.01353855,47.00000000,0.00000000
286.50635447,4.77510591,0.05000000,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,855.47924778,47.00000000,0.00000000
318.34039385,5.30567323,0.05555556,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,847.99281014,47.00000000,0.00000000
350.17443324,5.83624055,0.06111111,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,839.56575660,47.00000000,0.00000000
382.00847262,6.36680788,0.06666667,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,830.21117086,47.00000000,0.00000000
413.84251201,6.89737520,0.07222222,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,819.94371217,47.00000000,0.00000000
445.67655139,7.42794252,0.07777778,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,808.77964397,47.00000000,0.00000000
477.51059078,7.95850985,0.08333333,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,796.73686932,47.00000000,0.00000000
509.34463016,8.48907717,0.08888889,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,783.83497499,47.00000000,0.00000000
541.17866955,9.01964449,0.09444444,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,770.09528586,47.00000000,0.00000000
573.01270893,9.55021182,0.10000000,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,755.54093230,47.00000000,0.00000000
604.84674832,10.08077914,0.10555556,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,740.19693330,47.00000000,0.00000000
636.68078770,10.61134646,0.11111111,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,724.09029920,47.00000000,0.00000000
668.51482709,11.14191378,0.11666667,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,707.25015859,47.00000000,0.00000000
700.34886647,11.67248111,0.12222222,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,689.70791535,47.00000000,0.00000000
732.18290586,12.20304843,0.12777778,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,671.49744312,47.00000000,0.00000000
764.01694524,12.73361575,0.13333333,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,652.65532652,47.00000000,0.00000000
795.85098463,13.26418308,0.13888889,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,633.22116121,47.00000000,0.00000000
827.68502401,13.79475040,0.14444444,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,613.23792761,47.00000000,0.00000000
859.51906340,14.32531772,0.15000000,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,592.75245799,47.00000000,0.00000000
891.35310279,14.85588505,0.15555556,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,571.81602149,47.00000000,0.00000000
923.18714217,15.38645237,0.16111111,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,550.48505886,47.00000000,0.00000000
955.02118156,15.91701969,0.16666667,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,528.82210748,47.00000000,0.00000000
986.85522094,16.44758702,0.17222222,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,506.89696802,47.00000000,0.00000000
1018.68926033,16.97815434,0.17777778,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,484.78817747,47.00000000,0.00000000
1050.52329971,17.50872166,0.18333333,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,462.58486793,47.00000000,0.00000000
1082.35733910,18.03928898,0.18888889,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,440.38910608,47.00000000,0.00000000
1114.19137848,18.56985631,0.19444444,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,418.31881948,47.00000000,0.00000000
1146.02541787,19.10042363,0.20000000,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,396.51141456,47.00000000,0.00000000
1177.85945725,19.63099095,0.20555556,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,375.12816022,47.00000000,0.00000000
1209.69349664,20.16155828,0.21111111,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,354.35931766,47.00000000,0.00000000
1241.52753602,20.69212560,0.21666667,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,334.42978695,47.00000000,0.00000000
1273.36157541,21.22269292,0.22222222,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,315.60463162,47.00000000,0.00000000
1305.19561479,21.75326025,0.22777778,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,298.19313665,47.00000000,0.00000000
1337.02965418,22.28382757,0.23333333,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,282.54900245,47.00000000,0.00000000
1368.86369356,22.81439489,0.23888889,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,269.06304438,47.00000000,0.00000000
1400.69773295,23.34496222,0.24444444,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,258.14402584,47.00000000,0.00000000
1432.53177233,23.87552954,0.25000000,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,250.18439792,47.00000000,0.00000000
1464.36581172,24.40609686,0.25555556,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,245.51235961,47.00000000,0.00000000
1496.19985110,24.93666419,0.26111111,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,244.33967804,47.00000000,0.00000000
1528.03389049,25.46723151,0.26666667,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,246.72192890,47.00000000,0.00000000
1559.86792987,25.99779883,0.27222222,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,252.54725345,47.00000000,0.00000000
1591.70196926,26.52836615,0.27777778,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,261.55864330,47.00000000,0.00000000
1623.53600864,27.05893348,0.28333333,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,273.40001024,47.00000000,0.00000000
1655.37004803,27.58950080,0.28888889,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,287.66852215,47.00000000,0.00000000
