satellite_id,plane_id,slot_id,critical_space_time_cells,space_time_coverage_after_failure,full_region_time_coverage_after_failure,minimum_point_time_coverage_after_failure,worst_instantaneous_area_coverage_after_failure,maximum_full_region_outage_minutes,pass_full_region_99,pass_minimum_point_99,pass_both_99
0,0,0,0,1.0,1.0,1.0,1.0,0.0,True,True,True
1,0,1,0,1.0,1.0,1.0,1.0,0.0,True,True,True
2,0,2,0,1.0,1.0,1.0,1.0,0.0,True,True,True
3,0,3,0,1.0,1.0,1.0,1.0,0.0,True,True,True
4,0,4,0,1.0,1.0,1.0,1.0,0.0,True,True,True
5,0,5,0,1.0,1.0,1.0,1.0,0.0,True,True,True
6,0,6,0,1.0,1.0,1.0,1.0,0.0,True,True,True
7,0,7,0,1.0,1.0,1.0,1.0,0.0,True,True,True
8,0,8,0,1.0,1.0,1.0,1.0,0.0,True,True,True
9,0,9,0,1.0,1.0,1.0,1.0,0.0,True,True,True
10,0,10,0,1.0,1.0,1.0,1.0,0.0,True,True,True
11,0,11,1,0.9999950910486505,0.9965277777777778,0.9965277777777778,0.9985862219473347,5.0,True,True,True
12,0,12,0,1.0,1.0,1.0,1.0,0.0,True,True,True
13,0,13,0,1.0,1.0,1.0,1.0,0.0,True,True,True
14,0,14,0,1.0,1.0,1.0,1.0,0.0,True,True,True
15,0,15,0,1.0,1.0,1.0,1.0,0.0,True,True,True
16,0,16,0,1.0,1.0,1.0,1.0,0.0,True,True,True
17,0,17,0,1.0,1.0,1.0,1.0,0.0,True,True,True
18,0,18,0,1.0,1.0,1.0,1.0,0.0,True,True,True
19,0,19,0,1.0,1.0,1.0,1.0,0.0,True,True,True
20,0,20,0,1.0,1.0,1.0,1.0,0.0,True,True,True
21,0,21,0,1.0,1.0,1.0,1.0,0.0,True,True,True
22,0,22,0,1.0,1.0,1.0,1.0,0.0,True,True,True
23,0,23,0,1.0,1.0,1.0,1.0,0.0,True,True,True
24,0,24,0,1.0,1.0,1.0,1.0,0.0,True,True,True
25,0,25,0,1.0,1.0,1.0,1.0,0.0,True,True,True
26,0,26,0,1.0,1.0,1.0,1.0,0.0,True,True,True
27,0,27,0,1.0,1.0,1.0,1.0,0.0,True,True,True
28,0,28,0,1.0,1.0,1.0,1.0,0.0,True,True,True
29,0,29,0,1.0,1.0,1.0,1.0,0.0,True,True,True
30,0,30,0,1.0,1.0,1.0,1.0,0.0,True,True,True
31,0,31,0,1.0,1.0,1.0,1.0,0.0,True,True,True
32,0,32,0,1.0,1.0,1.0,1.0,0.0,True,True,True
33,0,33,0,1.0,1.0,1.0,1.0,0.0,True,True,True
34,0,34,0,1.0,1.0,1.0,1.0,0.0,True,True,True
35,0,35,0,1.0,1.0,1.0,1.0,0.0,True,True,True
36,0,36,0,1.0,1.0,1.0,1.0,0.0,True,True,True
37,0,37,0,1.0,1.0,1.0,1.0,0.0,True,True,True
38,0,38,0,1.0,1.0,1.0,1.0,0.0,True,True,True
39,0,39,0,1.0,1.0,1.0,1.0,0.0,True,True,True
40,0,40,0,1.0,1.0,1.0,1.0,0.0,True,True,True
41,0,41,0,1.0,1.0,1.0,1.0,0.0,True,True,True
42,0,42,0,1.0,1.0,1.0,1.0,0.0,True,True,True
43,0,43,0,1.0,1.0,1.0,1.0,0.0,True,True,True
