M,N,total_satellites,inclination_deg,F,worst_single_ratio,worst_double_ratio,average_double_ratio,qualified_point_ratio,strict_double_ratio,average_multiplicity,worst_latitude,worst_longitude,feasible
41,48,1968,53.0,0,1.0,0.9930555555555556,0.9999749599358976,1.0,0.9791666666666666,4.038085937500002,4.0,75.0,True
41,48,1968,53.0,1,1.0,0.9861111111111112,0.9998747996794871,1.0,0.8958333333333334,4.035882411858974,5.96,77.0,True
41,48,1968,53.0,2,0.9861111111111112,0.9861111111111112,0.999557625534188,1.0,0.6597222222222222,4.0371511084401694,4.0,107.0,False
41,48,1968,53.0,3,1.0,0.9305555555555556,0.9992487980769231,0.9975961538461539,0.5486111111111112,4.03680889423077,5.96,99.0,False
41,48,1968,53.0,4,0.9930555555555556,0.9652777777777778,0.9975961538461539,1.0,0.04861111111111111,4.037459935897436,5.96,85.0,False
41,48,1968,53.0,5,1.0,0.9375,0.9971537793803419,0.9963942307692307,0.2152777777777778,4.036124465811966,4.0,79.0,False
41,48,1968,53.0,6,1.0,0.9583333333333334,0.9942992120726495,1.0,0.0,4.036583533653848,4.0,73.0,True
41,48,1968,53.0,7,1.0,0.9444444444444444,0.994315905448718,0.9987980769230769,0.0,4.036174545940168,4.0,127.0,False
41,48,1968,53.0,8,1.0,0.9375,0.9913778712606838,0.9927884615384616,0.0,4.03621627938034,5.96,119.0,False
41,48,1968,53.0,9,1.0,0.9305555555555556,0.9913695245726495,0.9771634615384616,0.0,4.036925747863249,4.0,83.0,False
41,48,1968,53.0,10,1.0,0.9027777777777778,0.9898754674145299,0.9338942307692307,0.0,4.036349826388889,7.92,91.0,False
41,48,1968,53.0,11,0.9861111111111112,0.9236111111111112,0.9882061298076923,0.9675480769230769,0.0,4.03670873397436,4.0,119.0,False
41,48,1968,53.0,12,1.0,0.9375,0.9903011485042735,0.9567307692307693,0.0,4.037276308760682,4.0,75.0,False
41,48,1968,53.0,13,0.9791666666666666,0.9305555555555556,0.9863782051282051,0.9411057692307693,0.09722222222222222,4.036099425747865,4.0,89.0,False
41,48,1968,53.0,14,1.0,0.9375,0.9914863782051282,0.9831730769230769,0.0,4.036341479700856,4.0,85.0,False
41,48,1968,53.0,15,0.9861111111111112,0.9305555555555556,0.9897252270299146,0.9795673076923077,0.0,4.03599091880342,4.0,127.0,False
41,48,1968,53.0,16,0.9930555555555556,0.9375,0.9922375801282051,0.9879807692307693,0.0,4.036616920405982,9.879999999999999,83.0,False
41,48,1968,53.0,17,0.9861111111111112,0.8819444444444444,0.9928051549145299,0.9423076923076923,0.006944444444444444,4.039329594017093,9.879999999999999,131.0,False
41,48,1968,53.0,18,1.0,0.9583333333333334,0.995426014957265,1.0,0.0625,4.036308092948718,4.0,99.0,True
41,48,1968,53.0,19,1.0,0.9583333333333334,0.9964860443376069,1.0,0.0,4.037459935897435,5.96,75.0,True
41,48,1968,53.0,20,1.0,0.9652777777777778,0.9983974358974359,1.0,0.3263888888888889,4.037184495192307,4.0,129.0,True
41,48,1968,53.0,21,1.0,0.9722222222222222,0.9991402911324786,1.0,0.4236111111111111,4.036533453525641,5.96,89.0,True
41,48,1968,53.0,22,1.0,0.9861111111111112,0.9996243990384616,1.0,0.7708333333333334,4.037535056089743,4.0,109.0,True
41,48,1968,53.0,23,1.0,0.9930555555555556,0.9998330662393162,1.0,0.8819444444444444,4.036258012820511,4.0,77.0,True
41,48,1968,53.0,24,1.0,0.9930555555555556,0.9999248798076923,1.0,0.9375,4.035982572115384,4.0,75.0,True
41,48,1968,53.0,25,1.0,0.9930555555555556,0.9999916533119658,1.0,0.9930555555555556,4.036333133012821,4.0,73.0,True
41,48,1968,53.0,26,1.0,1.0,1.0,1.0,1.0,4.037418202457264,4.0,73.0,True
41,48,1968,53.0,27,1.0,1.0,1.0,1.0,1.0,4.036650307158121,4.0,73.0,True
41,48,1968,53.0,28,1.0,1.0,1.0,1.0,1.0,4.036608573717947,4.0,73.0,True
41,48,1968,53.0,29,1.0,1.0,1.0,1.0,1.0,4.034864115918803,4.0,73.0,True
41,48,1968,53.0,30,1.0,1.0,1.0,1.0,1.0,4.037601829594015,4.0,73.0,True
41,48,1968,53.0,31,1.0,1.0,1.0,1.0,1.0,4.036091079059832,4.0,73.0,True
41,48,1968,53.0,32,1.0,1.0,1.0,1.0,1.0,4.036934094551282,4.0,73.0,True
41,48,1968,53.0,33,1.0,1.0,1.0,1.0,1.0,4.036600227029916,4.0,73.0,True
41,48,1968,53.0,34,1.0,1.0,1.0,1.0,1.0,4.036692040598292,4.0,73.0,True
41,48,1968,53.0,35,1.0,1.0,1.0,1.0,1.0,4.036658653846154,4.0,73.0,True
41,48,1968,53.0,36,1.0,1.0,1.0,1.0,1.0,4.037526709401709,4.0,73.0,True
41,48,1968,53.0,37,1.0,1.0,1.0,1.0,1.0,4.034029447115385,4.0,73.0,True
41,48,1968,53.0,38,1.0,1.0,1.0,1.0,1.0,4.037451589209402,4.0,73.0,True
41,48,1968,53.0,39,1.0,1.0,1.0,1.0,1.0,4.037242922008549,4.0,73.0,True
41,48,1968,53.0,40,1.0,1.0,1.0,1.0,1.0,4.038394764957266,4.0,73.0,True
