M,N,inclination_deg,F,total_satellites,single_ratio,strict_double_ratio,space_time_double_ratio,average_multiplicity,minimum_cover,feasible
36,44,53.0,1,1584,1.0,0.0,0.9573099415204679,3.273830409356725,1,False
37,43,53.0,1,1591,0.4166666666666667,0.0,0.9653508771929826,3.274707602339182,0,False
38,42,53.0,1,1596,1.0,0.0,0.9697368421052633,3.3023391812865497,1,False
34,47,53.0,1,1598,0.9583333333333334,0.0,0.9557017543859647,3.3071637426900584,0,False
35,46,53.0,1,1610,0.7916666666666666,0.0,0.9489766081871345,3.3249999999999997,0,False
36,45,53.0,1,1620,0.8333333333333334,0.0,0.9584795321637426,3.3491228070175434,0,False
37,44,53.0,1,1628,1.0,0.0,0.9690058479532163,3.370760233918128,1,False
34,48,53.0,1,1632,0.6666666666666666,0.0,0.9543859649122807,3.381432748538012,0,False
38,43,53.0,1,1634,0.9166666666666666,0.0,0.9735380116959065,3.36374269005848,0,False
39,42,53.0,1,1638,0.9583333333333334,0.0,0.9804093567251463,3.389912280701754,0,False
35,47,53.0,1,1645,0.875,0.0,0.9650584795321638,3.4019005847953223,0,False
36,46,53.0,1,1656,1.0,0.0,0.9692982456140352,3.434356725146199,1,False
37,45,53.0,1,1665,0.7083333333333334,0.0,0.9729532163742691,3.444590643274854,0,False
34,49,53.0,1,1666,0.7916666666666666,0.0,0.9559941520467837,3.4423976608187137,0,False
38,44,53.0,1,1672,1.0,0.0,0.97953216374269,3.4551169590643283,1,False
39,43,53.0,1,1677,0.875,0.0,0.9833333333333331,3.448099415204678,0,False
35,48,53.0,1,1680,1.0,0.0,0.956140350877193,3.471491228070176,1,False
40,42,53.0,1,1680,1.0,0.041666666666666664,0.9890350877192983,3.478508771929825,1,False
36,47,53.0,1,1692,1.0,0.0,0.970906432748538,3.498976608187134,1,False
34,50,53.0,1,1700,0.75,0.0,0.9619883040935674,3.516666666666666,0,False
37,46,53.0,1,1702,1.0,0.0,0.9792397660818715,3.512865497076023,1,False
38,45,53.0,1,1710,0.7916666666666666,0.0,0.9801169590643276,3.535672514619884,0,False
35,49,53.0,1,1715,0.9166666666666666,0.041666666666666664,0.9704678362573101,3.5564327485380125,0,False
39,44,53.0,1,1716,1.0,0.0,0.9881578947368421,3.551461988304093,1,False
40,43,53.0,1,1720,1.0,0.041666666666666664,0.9899122807017543,3.5377192982456145,1,False
41,42,53.0,1,1722,1.0,0.25,0.9944444444444444,3.5570175438596494,1,False
36,48,53.0,1,1728,0.9583333333333334,0.0,0.9698830409356726,3.5801169590643274,0,False
34,51,53.0,1,1734,0.875,0.0,0.9694444444444444,3.589473684210527,0,False
37,47,53.0,1,1739,0.7916666666666666,0.0,0.9779239766081873,3.605116959064327,0,False
38,46,53.0,1,1748,1.0,0.0,0.985233918128655,3.6200292397660827,1,False
35,50,53.0,1,1750,0.9583333333333334,0.0,0.9726608187134506,3.608040935672514,0,False
39,45,53.0,1,1755,0.75,0.0,0.9888888888888888,3.6308479532163744,0,False
40,44,53.0,1,1760,1.0,0.125,0.9942982456140351,3.6345029239766085,1,False
41,43,53.0,1,1763,1.0,0.041666666666666664,0.9948830409356727,3.630701754385965,1,False
36,49,53.0,1,1764,1.0,0.0,0.9779239766081872,3.6593567251462,1,False
42,42,53.0,1,1764,1.0,0.4583333333333333,0.9964912280701755,3.6514619883040935,1,False
34,52,53.0,1,1768,0.8333333333333334,0.0,0.9676900584795322,3.654970760233917,0,False
37,48,53.0,1,1776,1.0,0.0,0.9814327485380118,3.6747076023391814,1,False
35,51,53.0,1,1785,1.0,0.041666666666666664,0.9752923976608185,3.6922514619883047,1,False
38,47,53.0,1,1786,0.875,0.0,0.9842105263157895,3.6888888888888896,0,False
39,46,53.0,1,1794,1.0,0.0,0.9915204678362574,3.7236842105263164,1,False
36,50,53.0,1,1800,0.9166666666666666,0.0,0.9769005847953217,3.725292397660818,0,False
40,45,53.0,1,1800,1.0,0.3333333333333333,0.9956140350877193,3.7190058479532175,1,False
41,44,53.0,1,1804,1.0,0.5416666666666666,0.9978070175438597,3.737719298245615,1,False
42,43,53.0,1,1806,1.0,0.5833333333333334,0.9979532163742689,3.717397660818714,1,False
37,49,53.0,1,1813,0.875,0.0,0.9856725146198828,3.7489766081871347,0,False
35,52,53.0,1,1820,0.9166666666666666,0.08333333333333333,0.9758771929824563,3.7616959064327475,0,False
38,48,53.0,1,1824,1.0,0.0,0.9893274853801168,3.7771929824561403,1,False
39,47,53.0,1,1833,0.9166666666666666,0.16666666666666666,0.9934210526315788,3.7910818713450287,0,False
36,51,53.0,1,1836,1.0,0.041666666666666664,0.981578947368421,3.7997076023391814,1,False
40,46,53.0,1,1840,1.0,0.6666666666666666,0.9982456140350878,3.8097953216374276,1,False
41,45,53.0,1,1845,1.0,0.625,0.9985380116959065,3.8138888888888896,1,False
42,44,53.0,1,1848,1.0,0.875,0.9994152046783626,3.823684210526316,1,False
37,50,53.0,1,1850,1.0,0.0,0.9839181286549706,3.8304093567251463,1,False
38,49,53.0,1,1862,1.0,0.0,0.9899122807017542,3.8480994152046786,1,False
36,52,53.0,1,1872,0.9166666666666666,0.0,0.9830409356725145,3.873245614035088,0,False
39,48,53.0,1,1872,1.0,0.16666666666666666,0.9948830409356724,3.873391812865497,1,False
40,47,53.0,1,1880,1.0,0.625,0.997953216374269,3.8964912280701753,1,False
41,46,53.0,1,1886,1.0,0.875,0.999561403508772,3.9086257309941526,1,False
37,51,53.0,1,1887,1.0,0.0,0.9899122807017543,3.907602339181286,1,False
42,45,53.0,1,1890,1.0,0.875,0.9994152046783625,3.9076023391812864,1,False
38,50,53.0,1,1900,1.0,0.0,0.9913742690058479,3.930555555555556,1,False
39,49,53.0,1,1911,1.0,0.25,0.9961988304093566,3.952777777777778,1,False
40,48,53.0,1,1920,1.0,0.6666666666666666,0.9985380116959065,3.986257309941521,1,False
37,52,53.0,1,1924,1.0,0.0,0.9875730994152043,3.9782163742690053,1,False
41,47,53.0,1,1927,1.0,0.9583333333333334,0.9998538011695907,3.9817251461988303,1,True
