M,N,inclination,total_satellites,space_time_coverage_ratio,full_region_coverage_ratio,worst_instantaneous_coverage_ratio,minimum_point_coverage_ratio,average_multiplicity,maximum_gap_minutes,feasible
32,64,56.0,2048,1.0,1.0,1.0,1.0,4.126996527777778,0.0,True
32,56,56.0,1792,0.9988715277777778,0.8645833333333334,0.9916666666666667,0.96875,3.616232638888889,15.0,False
32,64,60.0,2048,0.9949652777777778,0.4270833333333333,0.9833333333333333,0.8125,4.022829861111111,15.0,False
32,48,56.0,1536,0.9946180555555556,0.65625,0.975,0.9166666666666666,3.096701388888889,15.0,False
28,64,56.0,1792,0.9886284722222223,0.125,0.975,0.84375,3.61015625,15.0,False
28,56,56.0,1568,0.9869791666666666,0.052083333333333336,0.9666666666666667,0.8541666666666666,3.1549479166666665,15.0,False
28,64,60.0,1792,0.9814236111111111,0.052083333333333336,0.9666666666666667,0.84375,3.514670138888889,15.0,False
28,48,56.0,1344,0.9818576388888889,0.07291666666666667,0.9666666666666667,0.8333333333333334,2.710677083333333,15.0,False
32,56,60.0,1792,0.9916666666666667,0.4166666666666667,0.9666666666666667,0.78125,3.523697916666667,15.0,False
32,48,60.0,1536,0.9910590277777778,0.22916666666666666,0.9666666666666667,0.7708333333333334,3.017361111111111,15.0,False
28,56,60.0,1568,0.9769097222222223,0.03125,0.9583333333333334,0.8229166666666666,3.0714409722222222,15.0,False
28,48,60.0,1344,0.9735243055555556,0.0,0.95,0.8125,2.6414930555555554,15.0,False
32,40,60.0,1280,0.9760416666666667,0.09375,0.9416666666666667,0.75,2.5151909722222223,30.0,False
24,64,56.0,1536,0.9657986111111111,0.0,0.9416666666666667,0.75,3.092361111111111,30.0,False
24,56,60.0,1344,0.9592013888888888,0.0,0.9333333333333333,0.75,2.638541666666667,15.0,False
28,40,56.0,1120,0.9629340277777778,0.0,0.9333333333333333,0.5833333333333334,2.249045138888889,30.0,False
24,64,60.0,1536,0.9684027777777777,0.09375,0.925,0.75,3.015277777777778,15.0,False
32,40,56.0,1280,0.9759548611111111,0.3125,0.9166666666666666,0.84375,2.578385416666667,15.0,False
24,56,56.0,1344,0.9592881944444445,0.0,0.9166666666666666,0.75,2.70859375,30.0,False
24,48,56.0,1152,0.9513888888888888,0.0,0.9166666666666666,0.7083333333333334,2.3243055555555556,30.0,False
24,48,60.0,1152,0.9467013888888889,0.0,0.9083333333333333,0.75,2.263107638888889,15.0,False
24,40,56.0,960,0.9327256944444444,0.0,0.9,0.6875,1.9352430555555555,30.0,False
32,48,50.0,1536,0.9,0.0,0.9,0.0,2.91328125,1440.0,False
28,64,50.0,1792,0.9,0.0,0.9,0.0,3.393142361111111,1440.0,False
32,56,50.0,1792,0.9,0.0,0.9,0.0,3.3960069444444443,1440.0,False
32,56,53.0,1792,0.9,0.0,0.9,0.0,3.29921875,1440.0,False
32,64,50.0,2048,0.9,0.0,0.9,0.0,3.880989583333333,1440.0,False
32,64,53.0,2048,0.9,0.0,0.9,0.0,3.7666666666666666,1440.0,False
28,40,60.0,1120,0.9493055555555555,0.0,0.8916666666666667,0.625,2.2005208333333335,30.0,False
28,56,50.0,1568,0.8994791666666667,0.0,0.8916666666666667,0.0,2.9697916666666666,1440.0,False
32,48,53.0,1536,0.8989583333333333,0.0,0.8916666666666667,0.0,2.8250868055555554,1440.0,False
32,40,50.0,1280,0.8946180555555555,0.0,0.8833333333333333,0.0,2.425434027777778,1440.0,False
28,64,53.0,1792,0.8926215277777778,0.0,0.8833333333333333,0.0,3.2936631944444446,1440.0,False
20,64,56.0,1280,0.9205729166666666,0.0,0.875,0.7916666666666666,2.5761284722222224,30.0,False
24,40,60.0,960,0.9223090277777778,0.0,0.875,0.7083333333333334,1.886111111111111,30.0,False
28,48,50.0,1344,0.8969618055555556,0.0,0.875,0.0,2.5473090277777777,1440.0,False
32,40,53.0,1280,0.8910590277777778,0.0,0.875,0.0,2.3517361111111112,1440.0,False
20,56,56.0,1120,0.9109375,0.0,0.8666666666666667,0.7604166666666666,2.2544270833333333,30.0,False
20,64,60.0,1280,0.9014756944444444,0.0,0.8666666666666667,0.625,2.5092881944444443,30.0,False
20,56,60.0,1120,0.8953125,0.0,0.8666666666666667,0.6041666666666666,2.1977430555555557,30.0,False
28,56,53.0,1568,0.88984375,0.0,0.8666666666666667,0.0,2.884548611111111,1440.0,False
28,32,56.0,896,0.9027777777777778,0.0,0.8583333333333333,0.7708333333333334,1.8064236111111112,60.0,False
24,64,50.0,1536,0.8834201388888889,0.0,0.8583333333333333,0.0,2.908940972222222,1440.0,False
28,48,53.0,1344,0.8833333333333333,0.0,0.8583333333333333,0.0,2.4739583333333335,1440.0,False
24,56,50.0,1344,0.8795138888888889,0.0,0.8583333333333333,0.0,2.5487847222222224,1440.0,False
20,48,60.0,960,0.8868923611111111,0.0,0.85,0.6041666666666666,1.8836805555555556,45.0,False
24,64,53.0,1536,0.8736979166666666,0.0,0.85,0.0,2.8236979166666667,1440.0,False
24,56,53.0,1344,0.8727430555555555,0.0,0.8416666666666667,0.0,2.473871527777778,1440.0,False
24,48,50.0,1152,0.8735243055555556,0.0,0.8333333333333334,0.0,2.182638888888889,1440.0,False
24,40,50.0,960,0.8587673611111111,0.0,0.8333333333333334,0.0,1.8154513888888888,1440.0,False
32,32,56.0,1024,0.9294270833333333,0.0,0.825,0.6770833333333334,2.0631944444444446,60.0,False
24,40,53.0,960,0.8571180555555555,0.0,0.825,0.0,1.7645833333333334,1440.0,False
32,32,60.0,1024,0.9361111111111111,0.0,0.8166666666666667,0.71875,2.01484375,30.0,False
28,32,60.0,896,0.8810763888888888,0.0,0.8083333333333333,0.6666666666666666,1.7627604166666666,45.0,False
16,64,60.0,1024,0.8391493055555556,0.0,0.8083333333333333,0.5208333333333334,2.0112847222222223,45.0,False
16,64,56.0,1024,0.8469618055555556,0.0,0.8083333333333333,0.5,2.062847222222222,60.0,False
16,56,60.0,896,0.8299479166666667,0.0,0.8083333333333333,0.5,1.7605902777777778,45.0,False
28,40,50.0,1120,0.8668402777777777,0.0,0.8083333333333333,0.0,2.1283854166666667,1440.0,False
20,64,50.0,1280,0.8424479166666666,0.0,0.8083333333333333,0.0,2.4256076388888888,1440.0,False
24,48,53.0,1152,0.86484375,0.0,0.8,0.0,2.118402777777778,1440.0,False
20,64,53.0,1280,0.8387152777777778,0.0,0.8,0.0,2.3565972222222222,1440.0,False
20,56,50.0,1120,0.8346354166666666,0.0,0.8,0.0,2.1215277777777777,1440.0,False
16,56,56.0,896,0.8369791666666667,0.0,0.7916666666666666,0.5,1.809201388888889,60.0,False
20,56,53.0,1120,0.8334201388888889,0.0,0.7916666666666666,0.0,2.0587673611111112,1440.0,False
20,48,56.0,960,0.8938368055555556,0.0,0.7833333333333333,0.7395833333333334,1.9372395833333333,30.0,False
24,32,60.0,768,0.8350694444444444,0.0,0.7833333333333333,0.6145833333333334,1.5141493055555555,45.0,False
16,48,60.0,768,0.81328125,0.0,0.7833333333333333,0.5104166666666666,1.5105034722222221,45.0,False
28,40,53.0,1120,0.8605034722222222,0.0,0.7833333333333333,0.0,2.0613715277777778,1440.0,False
28,32,50.0,896,0.8308159722222223,0.0,0.775,0.0,1.6997395833333333,1440.0,False
20,48,53.0,960,0.8223090277777778,0.0,0.7666666666666667,0.0,1.7669270833333333,1440.0,False
20,48,50.0,960,0.8207465277777778,0.0,0.7666666666666667,0.0,1.8175347222222222,1440.0,False
28,32,53.0,896,0.8183159722222222,0.0,0.7666666666666667,0.0,1.6501736111111112,1440.0,False
24,32,56.0,768,0.8563368055555556,0.0,0.7583333333333333,0.625,1.5457465277777778,60.0,False
20,40,60.0,800,0.8361111111111111,0.0,0.7583333333333333,0.5416666666666666,1.5711805555555556,45.0,False
20,40,56.0,800,0.8552083333333333,0.0,0.75,0.6979166666666666,1.6163194444444444,45.0,False
32,32,50.0,1024,0.8610243055555555,0.0,0.75,0.0,1.94375,1440.0,False
16,64,50.0,1024,0.7868055555555555,0.0,0.75,0.0,1.9392361111111112,1440.0,False
16,48,56.0,768,0.8121527777777777,0.0,0.7416666666666667,0.4791666666666667,1.546267361111111,60.0,False
16,56,50.0,896,0.7775173611111111,0.0,0.7416666666666667,0.0,1.6995659722222223,1440.0,False
16,64,53.0,1024,0.7748263888888889,0.0,0.7416666666666667,0.0,1.8831597222222223,1440.0,False
32,24,56.0,768,0.8514756944444445,0.0,0.7333333333333333,0.5416666666666666,1.5465277777777777,45.0,False
16,40,60.0,640,0.7770833333333333,0.0,0.7333333333333333,0.5104166666666666,1.2551215277777779,60.0,False
20,40,50.0,800,0.8024305555555555,0.0,0.7333333333333333,0.0,1.5205729166666666,1440.0,False
16,56,53.0,896,0.7673611111111112,0.0,0.7333333333333333,0.0,1.6515625,1440.0,False
24,32,50.0,768,0.7658854166666667,0.0,0.7333333333333333,0.0,1.4583333333333333,1440.0,False
16,40,56.0,640,0.7814236111111111,0.0,0.725,0.4270833333333333,1.2904513888888889,60.0,False
32,32,53.0,1024,0.8473090277777777,0.0,0.7166666666666667,0.0,1.8837673611111112,1440.0,False
28,24,50.0,672,0.7884548611111111,0.0,0.7166666666666667,0.0,1.2705729166666666,1440.0,False
20,40,53.0,800,0.7973090277777778,0.0,0.7083333333333334,0.0,1.4703125,1440.0,False
24,32,53.0,768,0.7641493055555556,0.0,0.7083333333333334,0.0,1.415625,1440.0,False
12,64,56.0,768,0.7348090277777778,0.0,0.7,0.375,1.5434895833333333,75.0,False
16,48,50.0,768,0.7574652777777777,0.0,0.7,0.0,1.4540798611111112,1440.0,False
16,48,53.0,768,0.7514756944444444,0.0,0.7,0.0,1.4110243055555556,1440.0,False
20,32,60.0,640,0.7571180555555556,0.0,0.6916666666666667,0.4895833333333333,1.2613715277777777,75.0,False
12,64,60.0,768,0.7288194444444445,0.0,0.6916666666666667,0.3854166666666667,1.5071180555555554,75.0,False
32,24,50.0,768,0.7916666666666666,0.0,0.6833333333333333,0.0,1.460763888888889,1440.0,False
28,24,53.0,672,0.7418402777777777,0.0,0.6833333333333333,0.0,1.23671875,1440.0,False
16,40,50.0,640,0.7356770833333334,0.0,0.6833333333333333,0.0,1.2134548611111111,1440.0,False
28,24,56.0,672,0.7875868055555556,0.0,0.675,0.4895833333333333,1.3559027777777777,45.0,False
12,56,60.0,672,0.7188368055555555,0.0,0.675,0.3854166666666667,1.3173611111111112,75.0,False
12,56,56.0,672,0.7248263888888888,0.0,0.675,0.375,1.3520833333333333,75.0,False
32,24,53.0,768,0.7727430555555556,0.0,0.675,0.0,1.4094618055555554,1440.0,False
16,40,53.0,640,0.7235243055555556,0.0,0.675,0.0,1.1741319444444445,1440.0,False
12,48,60.0,576,0.6988715277777777,0.0,0.6583333333333333,0.3854166666666667,1.1317708333333334,90.0,False
24,24,50.0,576,0.7144965277777777,0.0,0.6583333333333333,0.0,1.0902777777777777,1440.0,False
24,24,53.0,576,0.7046006944444444,0.0,0.65,0.0,1.0573784722222221,1440.0,False
12,64,50.0,768,0.6874131944444445,0.0,0.6416666666666667,0.0,1.4544270833333333,1440.0,False
12,64,53.0,768,0.6769097222222222,0.0,0.6416666666666667,0.0,1.4110243055555556,1440.0,False
20,32,53.0,640,0.6914930555555555,0.0,0.6333333333333333,0.0,1.1755208333333333,1440.0,False
12,56,50.0,672,0.6800347222222223,0.0,0.6333333333333333,0.0,1.2736979166666667,1440.0,False
20,32,56.0,640,0.7410590277777778,0.0,0.625,0.5416666666666666,1.2877604166666667,90.0,False
24,24,56.0,576,0.7403645833333333,0.0,0.625,0.4791666666666667,1.1605034722222223,45.0,False
12,48,56.0,576,0.7052951388888888,0.0,0.625,0.375,1.1611979166666666,75.0,False
16,32,56.0,512,0.6750868055555556,0.0,0.625,0.3333333333333333,1.0313368055555556,135.0,False
20,24,56.0,480,0.6762152777777778,0.0,0.6166666666666667,0.4375,0.9682291666666667,60.0,False
16,32,60.0,512,0.6769965277777777,0.0,0.6166666666666667,0.375,1.0083333333333333,135.0,False
12,40,60.0,480,0.6598958333333333,0.0,0.6166666666666667,0.375,0.9452256944444445,90.0,False
12,56,53.0,672,0.6680555555555555,0.0,0.6166666666666667,0.0,1.2383680555555556,1440.0,False
12,48,50.0,576,0.6624131944444445,0.0,0.6166666666666667,0.0,1.09140625,1440.0,False
12,48,53.0,576,0.65390625,0.0,0.6166666666666667,0.0,1.057986111111111,1440.0,False
12,40,56.0,480,0.6685763888888889,0.0,0.6083333333333333,0.375,0.9674479166666666,75.0,False
20,32,50.0,640,0.6832465277777777,0.0,0.6083333333333333,0.0,1.2106770833333333,1440.0,False
28,24,60.0,672,0.7362847222222222,0.0,0.5833333333333334,0.4375,1.3186631944444445,45.0,False
32,24,60.0,768,0.7560763888888888,0.0,0.575,0.4895833333333333,1.4994791666666667,45.0,False
32,16,56.0,512,0.7075520833333333,0.0,0.575,0.375,1.031423611111111,60.0,False
12,40,50.0,480,0.6315972222222223,0.0,0.575,0.0,0.9120659722222222,1440.0,False
16,32,53.0,512,0.6215277777777778,0.0,0.5666666666666667,0.0,0.94375,1440.0,False
16,32,50.0,512,0.6205729166666667,0.0,0.5666666666666667,0.0,0.9731770833333333,1440.0,False
8,56,56.0,448,0.5763888888888888,0.0,0.5583333333333333,0.3125,0.90546875,135.0,False
12,40,53.0,480,0.6283854166666667,0.0,0.5583333333333333,0.0,0.8836805555555556,1440.0,False
28,16,60.0,448,0.6321180555555556,0.0,0.55,0.4166666666666667,0.8778645833333333,90.0,False
32,16,60.0,512,0.6759548611111111,0.0,0.55,0.40625,1.007204861111111,105.0,False
8,64,56.0,512,0.5874131944444444,0.0,0.55,0.3229166666666667,1.03046875,135.0,False
20,24,53.0,480,0.63515625,0.0,0.55,0.0,0.8855902777777778,1440.0,False
28,16,56.0,448,0.6769965277777777,0.0,0.5416666666666666,0.4479166666666667,0.9056423611111111,90.0,False
12,32,56.0,384,0.6056423611111111,0.0,0.5416666666666666,0.3333333333333333,0.7723958333333333,105.0,False
24,24,60.0,576,0.6713541666666667,0.0,0.5333333333333333,0.4583333333333333,1.1309027777777778,45.0,False
8,64,60.0,512,0.55859375,0.0,0.525,0.28125,1.0060763888888888,135.0,False
8,56,60.0,448,0.5498263888888889,0.0,0.5166666666666667,0.2604166666666667,0.8801215277777777,135.0,False
32,16,50.0,512,0.6414930555555556,0.0,0.5166666666666667,0.0,0.9703125,1440.0,False
20,24,50.0,480,0.6222222222222222,0.0,0.5166666666666667,0.0,0.9098090277777777,1440.0,False
28,16,53.0,448,0.6057291666666667,0.0,0.5166666666666667,0.0,0.8214409722222222,1440.0,False
28,16,50.0,448,0.6026041666666667,0.0,0.5166666666666667,0.0,0.8480902777777778,1440.0,False
8,64,50.0,512,0.5514756944444444,0.0,0.5166666666666667,0.0,0.9690972222222223,1440.0,False
8,56,50.0,448,0.5440972222222222,0.0,0.5166666666666667,0.0,0.8478298611111111,1440.0,False
12,32,60.0,384,0.57109375,0.0,0.5083333333333333,0.3125,0.7584201388888889,165.0,False
8,48,56.0,384,0.5582465277777777,0.0,0.5083333333333333,0.3020833333333333,0.7734375,150.0,False
24,16,56.0,384,0.5958333333333333,0.0,0.5083333333333333,0.2708333333333333,0.7739583333333333,105.0,False
8,48,60.0,384,0.5331597222222222,0.0,0.5,0.2604166666666667,0.7549479166666667,135.0,False
8,64,53.0,512,0.5421006944444444,0.0,0.5,0.0,0.9422743055555556,1440.0,False
12,32,50.0,384,0.5342013888888889,0.0,0.49166666666666664,0.0,0.7288194444444445,1440.0,False
8,56,53.0,448,0.5333333333333333,0.0,0.49166666666666664,0.0,0.82578125,1440.0,False
32,16,53.0,512,0.6441840277777777,0.0,0.48333333333333334,0.0,0.9434895833333333,1440.0,False
24,16,53.0,384,0.5607638888888888,0.0,0.48333333333333334,0.0,0.7107638888888889,1440.0,False
12,32,53.0,384,0.5454861111111111,0.0,0.48333333333333334,0.0,0.7071180555555555,1440.0,False
24,16,50.0,384,0.5377604166666666,0.0,0.48333333333333334,0.0,0.7269965277777778,1440.0,False
8,48,53.0,384,0.5174479166666667,0.0,0.48333333333333334,0.0,0.7053819444444445,1440.0,False
24,16,60.0,384,0.5500868055555556,0.0,0.4666666666666667,0.3229166666666667,0.7540798611111111,150.0,False
8,40,56.0,320,0.5138888888888888,0.0,0.4666666666666667,0.2708333333333333,0.6459201388888889,150.0,False
20,24,60.0,480,0.5973090277777777,0.0,0.4583333333333333,0.3125,0.9424479166666667,60.0,False
8,40,60.0,320,0.5003472222222223,0.0,0.4583333333333333,0.25,0.6282986111111111,150.0,False
8,48,50.0,384,0.5182291666666666,0.0,0.4583333333333333,0.0,0.7269097222222223,1440.0,False
16,24,56.0,384,0.5323784722222222,0.0,0.45,0.28125,0.7739583333333333,90.0,False
8,40,50.0,320,0.49296875,0.0,0.45,0.0,0.6107638888888889,1440.0,False
8,40,53.0,320,0.4908854166666667,0.0,0.45,0.0,0.5884548611111111,1440.0,False
20,16,60.0,320,0.5004340277777778,0.0,0.44166666666666665,0.25,0.6270833333333333,120.0,False
16,24,50.0,384,0.5055555555555555,0.0,0.44166666666666665,0.0,0.7296006944444444,1440.0,False
16,24,60.0,384,0.53359375,0.0,0.4166666666666667,0.3020833333333333,0.7504340277777778,90.0,False
12,24,56.0,288,0.46414930555555556,0.0,0.4166666666666667,0.23958333333333334,0.58203125,120.0,False
20,16,56.0,320,0.5074652777777777,0.0,0.4083333333333333,0.3020833333333333,0.64453125,120.0,False
8,32,56.0,256,0.44730902777777776,0.0,0.4083333333333333,0.21875,0.5159722222222223,195.0,False
16,24,53.0,384,0.4930555555555556,0.0,0.4,0.0,0.7042534722222222,1440.0,False
12,24,53.0,288,0.4421875,0.0,0.4,0.0,0.5309027777777777,1440.0,False
12,24,50.0,288,0.4673611111111111,0.0,0.38333333333333336,0.0,0.5448784722222222,1440.0,False
16,16,56.0,256,0.44131944444444443,0.0,0.375,0.2604166666666667,0.5158854166666667,150.0,False
8,32,60.0,256,0.4203125,0.0,0.375,0.20833333333333334,0.5065972222222223,210.0,False
20,16,50.0,320,0.45034722222222223,0.0,0.375,0.0,0.6046006944444444,1440.0,False
16,16,60.0,256,0.43333333333333335,0.0,0.36666666666666664,0.21875,0.5026041666666666,195.0,False
16,16,50.0,256,0.42378472222222224,0.0,0.36666666666666664,0.0,0.48515625,1440.0,False
12,24,60.0,288,0.43472222222222223,0.0,0.35,0.21875,0.5658854166666667,120.0,False
20,16,53.0,320,0.4618055555555556,0.0,0.35,0.0,0.5877604166666667,1440.0,False
8,32,53.0,256,0.40824652777777776,0.0,0.35,0.0,0.47265625,1440.0,False
8,32,50.0,256,0.3923611111111111,0.0,0.3416666666666667,0.0,0.48585069444444445,1440.0,False
16,16,53.0,256,0.40434027777777776,0.0,0.31666666666666665,0.0,0.47274305555555557,1440.0,False
8,24,56.0,192,0.3207465277777778,0.0,0.275,0.15625,0.3862847222222222,180.0,False
8,24,60.0,192,0.33133680555555556,0.0,0.26666666666666666,0.14583333333333334,0.37508680555555557,180.0,False
12,16,60.0,192,0.32821180555555557,0.0,0.26666666666666666,0.14583333333333334,0.3765625,225.0,False
8,24,50.0,192,0.3151909722222222,0.0,0.26666666666666666,0.0,0.3641493055555556,1440.0,False
12,16,56.0,192,0.31866319444444446,0.0,0.25833333333333336,0.13541666666666666,0.3876736111111111,225.0,False
8,24,53.0,192,0.3067708333333333,0.0,0.25833333333333336,0.0,0.35225694444444444,1440.0,False
12,16,50.0,192,0.28107638888888886,0.0,0.23333333333333334,0.0,0.3618923611111111,1440.0,False
12,16,53.0,192,0.29131944444444446,0.0,0.225,0.0,0.35625,1440.0,False
8,16,56.0,128,0.24375,0.0,0.18333333333333332,0.13541666666666666,0.25850694444444444,330.0,False
8,16,60.0,128,0.22708333333333333,0.0,0.18333333333333332,0.10416666666666667,0.25069444444444444,330.0,False
8,16,50.0,128,0.23211805555555556,0.0,0.18333333333333332,0.0,0.2421875,1440.0,False
8,16,53.0,128,0.22543402777777777,0.0,0.16666666666666666,0.0,0.23819444444444443,1440.0,False
