M,N,total_satellites,inclination,phase_factor,space_time_coverage_ratio,full_region_coverage_ratio,worst_instantaneous_ratio,minimum_point_coverage_ratio,average_multiplicity,maximum_gap_minutes,feasible
32,64,2048,54.0,30,1.0,1.0,1.0,1.0,3.9993958333333333,0.0,True
32,64,2048,54.0,21,0.9999861111111111,0.9888888888888889,0.99875,0.9972222222222222,3.999421875,2.0,False
32,64,2048,54.0,19,0.9998715277777778,0.8986111111111111,0.9975,0.9944444444444445,3.9995538194444444,2.0,False
32,64,2048,54.0,28,0.9998315972222223,0.8666666666666667,0.9975,0.9930555555555556,3.9993125,2.0,False
32,64,2048,54.0,0,0.9998107638888889,0.8625,0.9975,0.9930555555555556,3.9992309027777777,2.0,False
32,64,2048,54.0,23,0.9997690972222222,0.8361111111111111,0.9975,0.9902777777777778,3.9994027777777776,4.0,False
32,64,2048,54.5,19,0.9997083333333333,0.7916666666666666,0.9975,0.9902777777777778,3.9225416666666666,2.0,False
32,64,2048,54.5,21,0.9997170138888889,0.7888888888888889,0.9975,0.9888888888888889,3.9225572916666667,4.0,False
32,64,2048,58.0,22,0.9997013888888889,0.7875,0.9975,0.9888888888888889,3.3887673611111113,2.0,False
32,64,2048,58.0,20,0.9996788194444445,0.7875,0.9975,0.9875,3.389104166666667,2.0,False
32,64,2048,54.5,0,0.9996753472222222,0.7680555555555556,0.9975,0.9916666666666667,3.922956597222222,2.0,False
32,64,2048,58.0,8,0.9996961805555555,0.7680555555555556,0.9975,0.9847222222222223,3.388795138888889,2.0,False
32,64,2048,54.5,30,0.9996493055555555,0.7611111111111111,0.99625,0.9875,3.922876736111111,2.0,False
32,64,2048,54.0,2,0.9996354166666667,0.7430555555555556,0.9975,0.9888888888888889,3.9996059027777777,2.0,False
32,64,2048,54.0,17,0.9996770833333334,0.7416666666666667,0.99875,0.9875,3.9995086805555555,2.0,False
32,64,2048,54.0,14,0.9995486111111112,0.7388888888888889,0.99625,0.9805555555555555,3.999515625,2.0,False
32,64,2048,57.5,12,0.999125,0.7388888888888889,0.9925,0.9569444444444445,3.446920138888889,4.0,False
32,64,2048,58.0,12,0.9991701388888888,0.7305555555555555,0.99125,0.9694444444444444,3.389376736111111,2.0,False
32,64,2048,58.0,10,0.9994878472222222,0.7166666666666667,0.99625,0.9888888888888889,3.3888836805555558,2.0,False
32,64,2048,54.0,5,0.9995815972222222,0.6916666666666667,0.9975,0.9861111111111112,3.99928125,2.0,False
32,64,2048,54.5,23,0.9994930555555556,0.6888888888888889,0.9975,0.9833333333333333,3.9228645833333333,4.0,False
32,64,2048,54.5,17,0.9995763888888889,0.6861111111111111,0.9975,0.9875,3.9225815972222224,2.0,False
32,64,2048,58.0,18,0.9995763888888889,0.6791666666666667,0.9975,0.9902777777777778,3.38865625,2.0,False
32,64,2048,54.5,28,0.9995868055555556,0.6694444444444444,0.99875,0.9861111111111112,3.9229583333333333,2.0,False
32,64,2048,54.0,11,0.9993385416666667,0.6666666666666666,0.99375,0.9736111111111111,3.9995364583333335,4.0,False
32,64,2048,54.0,7,0.9995798611111111,0.6638888888888889,0.99875,0.9847222222222223,3.999364583333333,4.0,False
32,64,2048,54.5,2,0.9995138888888889,0.6625,0.99625,0.9861111111111112,3.9226597222222224,2.0,False
32,64,2048,57.0,12,0.9986614583333333,0.6555555555555556,0.99,0.9361111111111111,3.5138732638888888,4.0,False
32,64,2048,54.0,10,0.9993194444444444,0.6444444444444445,0.9975,0.9791666666666666,3.9993177083333333,2.0,False
32,64,2048,54.0,26,0.9994461805555556,0.6402777777777777,0.99625,0.9833333333333333,3.9993211805555555,2.0,False
32,64,2048,54.0,1,0.9990173611111111,0.6222222222222222,0.99375,0.9722222222222222,3.999078125,2.0,False
32,64,2048,57.5,10,0.9992899305555556,0.6208333333333333,0.995,0.9777777777777777,3.446873263888889,4.0,False
32,64,2048,58.0,31,0.9985572916666666,0.6208333333333333,0.9925,0.9722222222222222,3.3889618055555557,2.0,False
32,64,2048,54.0,13,0.9993784722222222,0.6194444444444445,0.99625,0.9777777777777777,3.9991996527777776,4.0,False
32,64,2048,55.0,19,0.9994496527777778,0.6111111111111112,0.9975,0.9791666666666666,3.8329184027777776,4.0,False
32,64,2048,54.0,15,0.999484375,0.6013888888888889,0.99625,0.9847222222222223,3.999873263888889,2.0,False
32,64,2048,54.0,12,0.9994774305555556,0.5958333333333333,0.9975,0.9708333333333333,3.9993368055555556,2.0,False
32,64,2048,54.5,11,0.9993090277777777,0.5958333333333333,0.99625,0.9708333333333333,3.9225815972222224,4.0,False
32,64,2048,54.0,31,0.9988420138888889,0.5958333333333333,0.99375,0.9652777777777778,3.9995225694444443,2.0,False
32,64,2048,55.0,2,0.9994270833333333,0.5944444444444444,0.99625,0.9805555555555555,3.8331631944444444,4.0,False
32,64,2048,58.0,24,0.9993506944444445,0.5888888888888889,0.99625,0.9875,3.3888072916666667,2.0,False
